,HourDK,PriceArea,SpotPriceDKK
0,2019-01-01T00:00:00,DK1,211.48
1,2019-01-01T01:00:00,DK1,75.2
2,2019-01-01T02:00:00,DK1,-30.47
3,2019-01-01T03:00:00,DK1,-74.0
4,2019-01-01T04:00:00,DK1,-55.33
5,2019-01-01T05:00:00,DK1,-93.72
6,2019-01-01T06:00:00,DK1,-128.81
7,2019-01-01T07:00:00,DK1,-112.54
8,2019-01-01T08:00:00,DK1,-36.81
9,2019-01-01T09:00:00,DK1,-47.27
10,2019-01-01T10:00:00,DK1,-36.81
11,2019-01-01T11:00:00,DK1,3.36
12,2019-01-01T12:00:00,DK1,0.9
13,2019-01-01T13:00:00,DK1,-0.15
14,2019-01-01T14:00:00,DK1,0.0
15,2019-01-01T15:00:00,DK1,-0.22
16,2019-01-01T16:00:00,DK1,14.71
17,2019-01-01T17:00:00,DK1,67.66
18,2019-01-01T18:00:00,DK1,0.52
19,2019-01-01T19:00:00,DK1,-37.11
20,2019-01-01T20:00:00,DK1,-52.12
21,2019-01-01T21:00:00,DK1,-119.55
22,2019-01-01T22:00:00,DK1,-36.37
23,2019-01-01T23:00:00,DK1,-216.03
24,2019-01-02T00:00:00,DK1,-250.65
25,2019-01-02T01:00:00,DK1,-342.87
26,2019-01-02T02:00:00,DK1,-360.56
27,2019-01-02T03:00:00,DK1,-250.88
28,2019-01-02T04:00:00,DK1,-250.43
29,2019-01-02T05:00:00,DK1,-132.83
30,2019-01-02T06:00:00,DK1,-0.07
31,2019-01-02T07:00:00,DK1,279.47
32,2019-01-02T08:00:00,DK1,358.84
33,2019-01-02T09:00:00,DK1,378.86
34,2019-01-02T10:00:00,DK1,359.22
35,2019-01-02T11:00:00,DK1,363.32
36,2019-01-02T12:00:00,DK1,372.88
37,2019-01-02T13:00:00,DK1,352.87
38,2019-01-02T14:00:00,DK1,370.64
39,2019-01-02T15:00:00,DK1,400.73
40,2019-01-02T16:00:00,DK1,418.2
41,2019-01-02T17:00:00,DK1,425.22
42,2019-01-02T18:00:00,DK1,413.57
43,2019-01-02T19:00:00,DK1,409.92
44,2019-01-02T20:00:00,DK1,402.15
45,2019-01-02T21:00:00,DK1,393.56
46,2019-01-02T22:00:00,DK1,388.94
47,2019-01-02T23:00:00,DK1,379.0
48,2019-01-03T00:00:00,DK1,320.35
49,2019-01-03T01:00:00,DK1,337.59
50,2019-01-03T02:00:00,DK1,360.66
51,2019-01-03T03:00:00,DK1,361.34
52,2019-01-03T04:00:00,DK1,364.25
53,2019-01-03T05:00:00,DK1,342.82
54,2019-01-03T06:00:00,DK1,381.27
55,2019-01-03T07:00:00,DK1,393.96
56,2019-01-03T08:00:00,DK1,469.51
57,2019-01-03T09:00:00,DK1,448.16
58,2019-01-03T10:00:00,DK1,434.42
59,2019-01-03T11:00:00,DK1,458.91
60,2019-01-03T12:00:00,DK1,462.87
61,2019-01-03T13:00:00,DK1,471.23
62,2019-01-03T14:00:00,DK1,475.33
63,2019-01-03T15:00:00,DK1,493.7
64,2019-01-03T16:00:00,DK1,510.72
65,2019-01-03T17:00:00,DK1,519.23
66,2019-01-03T18:00:00,DK1,490.27
67,2019-01-03T19:00:00,DK1,459.21
68,2019-01-03T20:00:00,DK1,418.37
69,2019-01-03T21:00:00,DK1,406.43
70,2019-01-03T22:00:00,DK1,388.88
71,2019-01-03T23:00:00,DK1,373.13
72,2019-01-04T00:00:00,DK1,372.38
73,2019-01-04T01:00:00,DK1,351.78
74,2019-01-04T02:00:00,DK1,351.48
75,2019-01-04T03:00:00,DK1,350.51
76,2019-01-04T04:00:00,DK1,350.95
77,2019-01-04T05:00:00,DK1,350.28
78,2019-01-04T06:00:00,DK1,370.29
79,2019-01-04T07:00:00,DK1,412.71
80,2019-01-04T08:00:00,DK1,406.51
81,2019-01-04T09:00:00,DK1,404.57
82,2019-01-04T10:00:00,DK1,402.48
83,2019-01-04T11:00:00,DK1,395.83
84,2019-01-04T12:00:00,DK1,386.35
85,2019-01-04T13:00:00,DK1,385.3
86,2019-01-04T14:00:00,DK1,383.88
87,2019-01-04T15:00:00,DK1,385.97
88,2019-01-04T16:00:00,DK1,392.69
89,2019-01-04T17:00:00,DK1,398.3
90,2019-01-04T18:00:00,DK1,394.34
91,2019-01-04T19:00:00,DK1,387.47
92,2019-01-04T20:00:00,DK1,347.82
93,2019-01-04T21:00:00,DK1,339.23
94,2019-01-04T22:00:00,DK1,328.25
